주차장명,위도,경도
제2공영노외주차장,37.59690736,127.1355516
제3공영노외주차장,37.5914188,127.1416498
제7공영노외주차장,37.58961053,127.1483333
당정4공영주차장,37.34758758,126.9573664
산본천공영주차장,37.3720451,126.9417279
바위백이공영주차장,37.37047169,126.9425753
안금정공영주차장,37.363881,126.9422288
평화공영주차장,37.36460427,126.9446063
송죽공영주차장,37.3609389,126.9472193
금정제일공영주차장,37.36057144,126.943823
청명1길공영주차장,37.35051295,126.9478603
당동1공영주차장,37.35389666,126.9409365
당동2공영주차장,37.35133772,126.9392392
당동4공영주차장,37.34695421,126.9405476
당정역광장공영주차장,37.34360826,126.9478318
당정노외공영주차장,37.35028163,126.9504476
당동811노상주차장,37.35758496,126.9440706
금정동891노상주차장,37.3602579,126.9430092
중심지하공영주차장,37.35971144,126.9316676
중심2공영주차장,37.35836903,126.9318019
중심3공영주차장,37.358977,126.9307697
행복공영주차장,37.3639313,126.9319632
군포역1길공영주차장,37.35347359,126.9468111
수리산역노상주차장,37.35165233,126.9254844
수리산로노상주차장,37.35761747,126.9236435
고산로517번길노상주차장,37.35761747,126.9236435
농심로노상주차장,37.36128893,126.9518729
곡란로노상주차장,37.37427183,126.9348081
당동864노상주차장,37.35706834,126.9436223
산본로431번길노상주차장,37.36769014,126.9268309
공단로노상주차장,37.36935364,126.9452847
당동869노상주차장,37.35579683,126.9415059
근린철쭉공원노상주차장,37.35184662,126.9250764
당동841노상주차장,37.35966991,126.9462718
금정동804노상주차장,37.36524217,126.9429449
당동738노상주차장,37.35545924,126.9443038
당동798노상주차장,37.35430275,126.9446863
군포로노상주차장,37.37634096,126.9407601
군포고가교밑1공영주차장,37.35497203,126.9492052
금정동893노상주차장,37.35707446,126.9360885
당정7공영주차장,37.36070162,126.9504619
당정9공영주차장,37.35053802,126.9532571
대야제5공영주차장,37.32901979,126.9191245
군포역환승공영주차장,37.35300995,126.9478984
문화공영주차장,37.34602879,126.9430948
당정12공영주차장,37.34518176,126.9489267
금정역제1공영주차장,37.37129368,126.9448619
중심1공영주차장,37.35909677,126.9331853
대야제1공영주차장,37.3324739,126.916146
대야제2공영주차장,37.33179676,126.9161868
대야제3공영주차장,37.33043385,126.9148906
대야제4공영주차장,37.32980586,126.9174497
당정5공영주차장,37.34130221,126.9488452
당정11공영주차장,37.35857464,126.9552924
당정10공영주차장,37.35648862,126.9528118
군포고가교밑2공영주차장,37.35479465,126.9498275
군포고가교밑3공영주차장,37.35378389,126.951506
고랑치기공영주차장,37.32664239,126.941669
산본시장제1공영주차장,37.37041767,126.9387032
산본시장제2공영주차장,37.37045599,126.939255
산본로데오공영주차장,37.36148463,126.9330206
반월호수공영주차장,,
당말공원공영주차장,,
첨단산업단지 노상,,
군포고가교밑4,37.35511062,126.947996
동백길공영주차장,37.37177387,126.9344883
산본시장공영주차장,37.36944837,126.9377605
금산로1공영주차장,37.36956522,126.9376918
금산로2공영주차장,37.36276675,126.9410513
농심로72번길 노상,,
당동3공영주차장,37.34411724,126.9391461
산본동1230노상주차장,37.35165233,126.9254844
산본동1155노상주차장,37.34448218,126.9233099
근린철도노상주차장,37.3457806,126.9243162
당정1공영주차장,37.34742597,126.9547136
당정2공영주차장,37.34490791,126.9501255
당정3공영주차장,37.34806808,126.9571364
당정8공영주차장,37.36070162,126.9504619
대야6공영주차장,37.32599777,126.9182528
철쭉공원공영주차장,37.35428425,126.9258821
당말공영주차장,37.35579683,126.9415059
번영공영주차장,37.36636468,126.948575
당정대영지구공영주차장,37.35325458,126.9563624
고촌신곡 공영주차장,37.60367547,126.7670079
양곡근린공원 공영주차장,37.65356834,126.6284963
사우중앙 공영주차장,37.62262186,126.7220273
사우노외3 공영주차장,37.62123516,126.7154242
사우노외7 공영주차장,37.62140983,126.7213827
장기7 공영주차장,37.64167402,126.6587174
마송공영주차장,37.68915376,126.60064
사우노상1구역 노상주차장,37.62199566,126.7145776
장기6 공영주차장,37.6371278,126.6766501
구래1 공영주차장,37.64508255,126.6223361
학운1 공영주차장,37.6049636,126.5928482
양곡1 공영주차장,37.65683897,126.6249479
마산1 공영주차장,37.63852677,126.6453405
마산2 공영주차장,37.63431475,126.6450623
풍무역 노외 공영주차장,37.61032521,126.7337494
고촌보름 공영주차장,37.59277706,126.7653793
장기2 공영주차장,37.64528232,126.6680395
고촌노상 주차장,37.59903944,126.7716351
장기상가 노상주차장,37.64519587,126.668271
사우노상2구역 노상주차장,37.62091966,126.716347
사우노상3구역 노상주차장,37.62016722,126.7180387
장기산타 노상주차장,37.64467526,126.6665817
장기먹자 노상주차장,37.64321405,126.6731794
장기노상 주차장,37.64519587,126.668271
김포물류단지 남측 노상,37.59231412,126.786428
김포물류단지 북측 노상,37.60067875,126.7854121
고촌노을 공영주차장,37.60387037,126.7722853
대곶 공영주차장,37.64933345,126.5830059
사우2 공영주차장,37.61856049,126.7212085
사우자주 공영주차장,37.61888886,126.7189278
북변자주식 공영주차장,37.62833344,126.7027023
고촌공영주차장,37.60067286,126.772645
김포2 공영주차장,37.62349019,126.7129754
장기1 공영주차장,37.6455058,126.6690572
구래상업지역 공영주차장,37.64466815,126.6254945
운양역환승센터 공영주차장,37.65332747,126.6842969
풍무2지구 공영주차장,,
통진공영주차장,37.69366387,126.6003742
사우노외1 공영주차장,37.62199566,126.7145776
사우노외2 공영주차장,37.62101331,126.7159477
사우노외4 공영주차장,37.61979812,126.7175469
사우노외5 공영주차장,37.62002126,126.7185757
사우노외8 공영주차장,37.62287627,126.7209708
장기3 공영주차장,37.64376335,126.6724743
고촌23 공영주차장,37.60318946,126.7690095
장기5 자주식,37.63974412,126.680331
한강중앙공원 공영주차장,37.64178194,126.6765682
북변 공영주차장,37.62744788,126.7117551
다산 노상제3,37.61072287,127.1708701
별내동 노상제1,37.64893462,127.1216693
별내동 노상제3,37.64739402,127.1235474
별내동 노상제4,37.64705137,127.1213318
별내동 노상제5,37.66732723,127.1186474
별내동 노상제6,37.646529,127.1255488
별내동 노상제9,37.65202591,127.1128331
진접 노상제3,37.71824246,127.1844317
진접 노상제5,37.72107823,127.1959489
진접 노상제7,37.71181903,127.1868933
진접 노상제8,37.70456449,127.1661338
화도 노상제2,37.64981489,127.3040126
별내면 노상제1,37.70927625,127.114995
별내면 노상제3,37.70726033,127.1190872
별내면 노상제4,37.70793078,127.1195798
별내면 노상제5,37.71075707,127.1115313
별내면 노상제6,37.71070669,127.1171688
진접 제4공영,37.74144675,127.1996093
별내 제1공영,37.70519958,127.1063771
진접 노상제8,37.70456449,127.1661338
진건 제1공영,37.65785598,127.1756163
별내면 제2공영,37.70766034,127.111855
화도 노상제4,37.65429441,127.3055415
별내동 노상제5,37.64599978,127.1216012
와부 노상제4,37.58327268,127.2096809
별내면 노상제4,37.70793078,127.1195798
