호선,출발역 ID,출발역,출발역 경도,출발역 위도,도착역 ID,도착역,도착역 경도,도착역 위도,소요시간
우이신설선,4707,삼양사거리,127.0204888,37.62131814,4708,솔샘,127.0135518,37.62025958,2
우이신설선,4708,솔샘,127.0135518,37.62025958,4709,북한산보국문,127.0082634,37.61213675,2
우이신설선,4709,북한산보국문,127.0082634,37.61213675,4710,정릉,127.0135395,37.60261461,3
우이신설선,4710,정릉,127.0135395,37.60261461,4711,성신여대입구,127.0135395,37.60261461,2
우이신설선,4711,성신여대입구,127.0135395,37.60261461,4712,보문,127.0195505,37.58504442,2
우이신설선,4712,보문,127.0195505,37.58504442,4713,신설동,127.0232071,37.576551,2
의정부경전철,4601,발곡,127.0529692,37.72714787,4602,회룡,127.0529692,37.72714787,2
의정부경전철,4602,회룡,127.0529692,37.72714787,4603,범골,127.0436686,37.72878785,1
의정부경전철,4603,범골,127.0436686,37.72878785,4604,경전철의정부,127.043306,37.73726431,2
의정부경전철,4604,경전철의정부,127.043306,37.73726431,4605,의정부시청,127.0348481,37.73923483,1
의정부경전철,4605,의정부시청,127.0348481,37.73923483,4606,흥선,127.0371759,37.74328308,2
의정부경전철,4606,흥선,127.0371759,37.74328308,4607,의정부중앙,127.0496498,37.74368032,1
의정부경전철,4607,의정부중앙,127.0496498,37.74368032,4608,동오,127.056985,37.74526991,2
의정부경전철,4608,동오,127.056985,37.74526991,4609,새말,127.0637595,37.74884869,1
의정부경전철,4609,새말,127.0637595,37.74884869,4610,경기도청북부청사,127.0716178,37.75076504,2
의정부경전철,4610,경기도청북부청사,127.0716178,37.75076504,4611,효자,127.0772266,37.75399057,1
의정부경전철,4611,효자,127.0772266,37.75399057,4612,곤제,127.0838224,37.75053716,1
의정부경전철,4612,곤제,127.0838224,37.75053716,4613,어룡,127.0852068,37.74269414,2
의정부경전철,4613,어룡,127.0852068,37.74269414,4614,송산,127.0872155,37.73727604,1
의정부경전철,4614,송산,127.0872155,37.73727604,4615,탑석,127.0889082,37.7334871,2
